busid,latitude,longitude,zip,fips
3005313,32.6385,-96.6955,75141,48113
3005314,31.6622,-97.5061,76689,48035
3005315,33.2277,-97.1838,76202,48121
3005316,32.8173,-96.6303,75150,48113
3005317,32.3342,-97.7317,76048,48221
3005318,32.3342,-97.7317,76048,48221
3005319,32.3342,-97.7317,76048,48221
3005320,32.3342,-97.7317,76048,48221
3005321,32.3342,-97.7317,76048,48221
3005322,32.7231,-96.9358,75236,48113
3005323,32.7231,-96.9358,75236,48113
3005324,32.7231,-96.9358,75236,48113
3005325,32.7231,-96.9358,75236,48113
3005326,32.7231,-96.9358,75236,48113
3005327,31.7512,-96.8919,76673,48217
3005328,31.3547,-97.0129,76685,48145
3005329,32.7113,-96.7812,75216,48113
3005330,32.7543,-97.0832,76011,48439
3005331,33.3389,-96.753,75009,48085
3005332,32.8818,-97.346,76131,48439
3005333,32.5218,-96.8073,75154,48139
3005334,32.2664,-99.5189,-1,48059
3005335,32.8853,-96.9421,75039,48113
3005336,32.8978,-96.5504,75088,48113
3005337,33.2196,-98.1882,76458,48237
3005338,32.5621,-97.631,76035,48367
3005339,32.9599,-97.1486,76092,48439
3005340,32.7868,-96.82,75207,48113
3005341,33.0685,-96.9638,75010,48121
3005342,33.0685,-96.9638,75010,48121
3005343,33.0685,-96.9638,75010,48121
3005344,32.8933,-96.8643,75229,48113
3005345,32.0225,-97.1334,76645,48217
3005346,32.7078,-97.3383,76110,48439
3005347,32.556,-99.1647,76464,48417
3005348,32.1626,-97.1549,76055,48217
3005349,32.6177,-96.7781,75134,48113
3005350,32.8576,-96.5763,75043,48113
3005351,32.8576,-96.5763,75043,48113
3005352,32.7922,-96.744,75223,48113
3005353,32.6432,-96.9165,75137,48113
3005354,32.7257,-96.559,7581,48113
3005355,32.3024,-97.0372,-1,48139
3005356,32.9646,-96.6497,75044,48113
3005357,33.1143,-96.694,75013,48085
3005358,31.4744,-96.9571,76682,48309
3005359,31.4744,-96.9571,76682,48309
3005360,31.4744,-96.9571,76682,48309
3005361,33.1964,-97.9208,-1,48237
3005362,33.1964,-97.9208,-1,48237
3005363,33.1964,-97.9208,-1,48237
3005364,33.1964,-97.9208,-1,48237
3005365,33.1964,-97.9208,-1,48237
3005366,33.1964,-97.9208,-1,48237
3005367,33.1964,-97.9208,-1,48237
3005368,33.1964,-97.9208,-1,48237
3005369,33.1964,-97.9208,-1,48237
3005370,33.0814,-97.061,75077,48121
3005371,32.6058,-96.5423,75159,48113
3005372,32.9253,-96.8368,75244,48113
3005373,32.8034,-97.2674,76117,48439
3005374,32.7166,-96.6201,75180,48113
3005375,32.6785,-97.3305,76115,48439
3005376,32.6762,-96.9366,75236,48113
3005377,31.1129,-97.7296,76541,48027
3005378,31.5397,-97.195,76710,48309
3005379,32.8597,-97.2915,76137,48439
3005380,32.32,-96.675,-1,48139
3005381,32.32,-96.675,-1,48139
3005382,32.32,-96.675,-1,48139
3005383,32.32,-96.675,-1,48139
3005384,32.7103,-96.6785,75217,48113
3005385,32.7103,-96.6785,75217,48113
3005386,32.9916,-96.6631,75082,48085
3005387,32.7421,-97.3817,76107,48439
3005388,31.621,-97.0985,76705,48309
3005389,31.621,-97.0985,76705,48309
3005390,30.9402,-97.227,76569,48027
3005391,30.9402,-97.227,76569,48027
3005392,30.9402,-97.227,76569,48027
3005393,31.6939,-97.3253,76633,48309
3005394,32.7683,-99.4228,-1,48417
3005395,32.7683,-99.4228,-1,48417
3005396,32.7683,-99.4228,-1,48417
3005397,32.7683,-99.4228,-1,48417
3005398,32.7683,-99.4228,-1,48417
3005399,32.7683,-99.4228,-1,48417
