busid,res,bus,oth,tot
3005072.0,29990.695468083737,2508.377758254944,736.43604962609,33235.509275964774
3005073.0,2410.6029916625803,224.7557626287396,80.69265980055584,2716.1957658983165
3005074.0,13175.342852857357,1101.9663416829158,323.5269236538173,14600.836118194089
3005075.0,1582.532556908417,140.24563260984647,70.64690312334568,1793.8443620963471
3005077.0,7278.317401888024,506.40841892774444,75.25319123671554,7859.979012052484
3005078.0,28006.632584247178,1819.5985752021134,721.5592231649724,30547.856839830307
3005079.0,15051.574494133649,1387.5288726407073,427.09680326475086,16866.265107974832
3005080.0,6440.224480968858,483.54552335640136,101.26394896193771,7025.440635813148
3005081.0,34793.39362519655,2472.520754761595,2021.3688211579158,39287.49560786447
3005082.0,37550.509427058016,3773.4508411267266,2076.7848023307192,43400.74507051546
3005084.0,92948.76864728192,7774.098609355246,2282.402022756005,103005.26927939316
3005085.0,15746.683529494152,1863.9361382202571,957.853037986677,18568.472705701086
3005086.0,33810.88718124066,3397.6561868255135,1869.9596283165665,39078.50299638274
3005087.0,1523.2713625376362,117.7910818031466,38.18073873033374,1679.2431830711166
3005090.0,33378.05783620261,3950.9632684224316,2030.3496949448586,39359.3707995699
3005091.0,1657.9833902939165,155.3095693779904,33.51742993848257,1846.8832535885167
3005092.0,4247.785484351713,330.44721311475405,137.2311773472429,4715.490134128167
3005093.0,17625.44944541424,1771.181484614169,974.8007710411651,20371.431701069574
3005094.0,981.0900301089861,75.86544251728087,24.590984266994617,1081.5464568932616
3005095.0,13594.306451612903,883.2258064516129,350.241935483871,14827.806451612903
3005096.0,25596.15065246737,2140.824478776061,628.5258737063145,28365.501004949747
3005097.0,30332.083382823126,3048.071179337055,1677.5593927650896,35057.71395492527
3005098.0,57387.40542648213,5766.860598716663,3173.892798083594,66328.15882328239
3005099.0,28516.84073581205,1852.7469382854397,734.7041593292242,31104.359501320734
3005100.0,6891.092499749389,815.6991482075003,419.1774016140526,8125.969049570943
3005101.0,12553.0,933.0,262.0,13749.0
3005103.0,71977.38442165856,8519.968519517897,4378.303291958985,84875.65623313544
3005104.0,29027.991145823948,2917.0229452732724,1605.4347004517062,33550.44879154893
3005105.0,32312.931289470747,3824.8841573186446,1965.5592457866958,38103.374692576086
3005108.0,12314.950159908487,1457.7215958167,749.1045591427969,14521.776314867984
3005109.0,16569.317288929713,1961.311359476208,1007.8929237918289,19538.52157219775
3005110.0,1059.5297163704836,87.32587972225491,40.12051312227845,1187.0165940920324
3005111.0,11430.925821410572,1353.079567004335,695.3303535014397,13479.335741916346
3005112.0,3512.7441337642263,153.3722073907545,58.465645637206684,3724.5819867921873
3005113.0,9099.41480228928,591.1914672216441,234.43613423517166,9925.063995837667
3005114.0,22417.532506085616,1559.759840883453,231.78308496111146,24209.075431930178
3005115.0,8092.384473481938,592.2719446579555,382.9461952344351,9067.693466564182
3005116.0,58687.90227345775,4908.570022927424,1441.1098587927745,65037.58215517795
3005117.0,47123.648496409725,4735.455624141426,2606.240994355162,54465.34511490631
3005118.0,3501.3926380368102,187.32822085889572,54.65950920245399,3743.9110429447855
3005119.0,581.9934640522877,58.81045751633987,10.137254901960786,651.0849673202615
3005121.0,20928.292790583622,1951.2770966159883,700.5548471472945,23581.377963053787
3005122.0,19951.938195265495,2361.712455834634,1213.6539467667449,23527.304597866874
3005124.0,4570.316176470587,343.1488970588235,71.86213235294117,4985.615808823529
3005125.0,24950.40696816455,2507.2664951020083,1379.9180568802822,28837.59152014684
3005126.0,53167.31099695287,6293.418684232568,3234.1076941456595,62694.837375331095
3005127.0,958.9175214275677,41.86792187719544,15.96009554587607,1016.7455388506393
3005128.0,27782.306554668925,3288.5937596552726,1689.9664418747395,32760.866756198935
3005129.0,4594.0,122.0,122.0,4839.0
3005130.0,41370.90822173177,3460.202052754505,1015.8826844372066,45846.99295892348
3005132.0,39708.546303630756,2821.805942092383,2306.921201659908,44837.51586016103
3005133.0,7975.217271474506,735.9118052365641,159.75011483693154,8870.879191548001
3005134.0,7170.930596285435,837.7953730856956,195.16324535679374,8205.64744216357
3005135.0,8516.317157050058,932.4935040122278,243.53419946503632,9692.871990829195
3005136.0,1199.4919506585825,81.87999163704788,53.42170186075685,1335.2929123980766
3005138.0,41398.72701921442,3816.3402142492773,1174.7119197415404,46389.957762285325
3005139.0,26514.591097031283,3138.534183615318,1612.8527372570986,31265.9780179037
3005140.0,2735.39538638985,169.1688581314879,157.75524798154558,3062.399307958478
3005141.0,18813.626767233065,1573.5441342218603,461.97771539994426,20849.148616854873
3005142.0,6015.1553267205,427.454606717662,349.4585082108698,6792.105162976012
3005143.0,32124.751021289605,3228.2163574303686,1776.705448677572,37129.672827397546
3005144.0,28940.484815507567,2667.8775888454347,821.2023635436151,32429.689627614353
3005145.0,36177.46824144602,4282.329692994922,2200.6346794758233,42660.43261391676
3005146.0,27855.97524954375,3297.3139287229696,1694.4476256781861,32847.73680394491
3005147.0,44824.35711928689,3749.0434506846086,1100.6837943817095,49674.08436435321
3005148.0,25602.940997955306,3030.622091402566,1557.3980876894489,30190.96117704732
3005149.0,28070.842276261996,3322.7477551704196,1707.5177451049049,33101.10777653732
3005150.0,543.6348039215686,54.93431372549019,9.469117647058823,608.1725490196078
3005151.0,1313.8895602079529,57.36658704510327,21.86820289447801,1393.124350147534
3005152.0,18717.98755611215,2215.6496239507073,1138.5941180590169,22072.23129812188
3005153.0,7554.599822930501,627.9288770842556,197.9520436771433,8380.59864246717
3005154.0,4040.310352778418,323.90976865728993,66.93736069479671,4431.277226961801
3005155.0,986.0694037145649,115.20462691430433,26.836754643206255,1128.3525578364288
3005156.0,1698.069151544875,158.32172633643944,56.84126205656368,1913.333823769822
3005157.0,45008.50303956584,5327.659959985113,2737.816587913966,53073.97958746491
3005158.0,51626.40746248775,6111.021814566569,3140.3762662569043,60877.80554331122
3005159.0,2489.7863321799305,186.93836505190308,39.148572664359854,2716.0304930795846
3005160.0,25025.49900444249,1625.9135115664772,644.7536870647563,27296.225586328343
3005161.0,61283.14554899625,7254.090643190533,3727.7847764920093,72265.0209686788
3005162.0,2636.6858697500425,243.06279544295188,74.817429008672,2954.577469818058
3005163.0,5867.971873780783,416.9953182081506,340.9076883061608,6625.910703096367
3005165.0,23414.75922016329,1521.2633074521732,603.2547976867045,25539.332886416392
3005168.0,38574.770353831,4566.098528072899,2346.459869079644,45487.32875098354
3005171.0,274.88632695411576,22.037506725078778,4.554146491430328,301.48612712320346
3005172.0,21223.102843612003,1622.8369562898647,624.143695202338,23470.241867013672
3005173.0,56532.08783560822,4728.2608669566525,1388.172791360432,62648.521493925306
3005174.0,1120.2914456997923,89.81323495503803,18.560295134885862,1228.698178464376
3005175.0,50038.3482200032,3251.005162891219,1289.181466621308,54578.653586008164
3005176.0,2248.420619042015,185.31364010827352,85.13946098623043,2518.9596328115804
3005177.0,33568.43623013658,3373.2922897883027,1856.550530590698,38798.279050515586
3005178.0,35639.59812254217,2824.5835341874918,548.5145249270581,39012.69618165673
3005180.0,27485.81845522898,2574.7004784688993,555.6473000683526,30617.37416267942
3005181.0,54705.14500246487,6475.452213520745,3327.652406042604,64508.24962202822
3005182.0,1208.001199538639,74.70809688581315,69.66763552479816,1352.412179930796
3005183.0,42694.07820891504,5053.701315108296,2597.0327300890235,50344.81225411236
3005184.0,29472.48455618142,2961.690089841492,1630.0180462824655,34064.192692305376
3005185.0,12159.218238158477,1010.6589936550096,318.60616792090894,13488.673159214992
3005186.0,6022.115856929955,468.4773770491803,194.5536214605067,6685.184083457525
3005187.0,4261.012721734456,565.4843218061279,116.52069521591112,4943.293854148002
3005188.0,27331.97717721924,1775.7660289762266,704.1774893940607,29811.985551909067
3005189.0,24200.16626638049,2864.5755387385007,1472.0688794321566,28536.810684551147
